latitude,longitude,name
45.5836391,-78.3596295,algonquin
40.6084305,-75.4901833,falcon_allentown
52.3679517,4.8962921,amsterdam
18.1819181,-63.1351012,meadsbay_hd
27.5294257,-82.7349321,annamariaisland
39.366493,-74.415011,absecon
-8.4095178,115.188916,bali2
35.2440257,-81.0378181,belmont
50.782998,-0.673061,bognorregis
11.97446692,121.9274712,bolabogbay
42.3668865,-71.0752064,boston_hd
-22.94574762,-43.15979004,brazil
40.71219925,-74.01295066,gzcchd
12.54252,-70.06179,bucuti1
47.5015304,19.0397193,hotelvictoria
41.8625679,-87.6186894,fieldmuseum
27.8026212,-97.3924096,corpuschristi
10.3313214,-85.8472538,playagrande
29.2044022,-80.9970556,daytona
30.396399,-86.514657,destin
53.3450903,-6.2638032,templebar
26.0608621,-80.442618,everglades
42.38392424,-87.81442881,midwestgen
26.1872219,-80.095646,windjammer
26.4205275,-81.9031241,sunstream3nc
17.90344529,-62.83926487,stbarts_hd
39.8113847,-77.2223732,gettysburg
53.55567,9.99142,hamburg_hd
42.9072222,-70.8119444,hamptonbeach
21.8725775,-159.4532217,koloa
26.2939687,-80.0789318,hillsboro
33.909513,-78.319581,holdennc
34.1015156,-118.3390106,hollywoodblvd
63.8333333,-20.4,iceland_hd
31.71794609,35.58506012,deadsea
21.9066667,-159.4691667,kauai
33.5635192,-117.7641222,vskimboardstcl
43.0609637,-86.2152497,lakemichigan
35.5931044,-105.2257085,lasvegasnm
40.718652,-73.99732,littleitaly
35.89785,14.518094,malta
40.7515736,-73.9753707,manhattan_skyline
33.9802893,-118.4517449,marinadelrey
25.774407,-80.18547535,miamibeach5
25.778148,-80.131431,miami
40.751045,-73.992501,midtown
55.747222,37.642778,moscow
43.08192844,-79.0814352,niagarafalls_str
29.95880379,-90.06568462,catsmeowkaraoke
26.71445,-80.033865,palmbeach_hd
30.17524769,-85.80520213,pwilly_hd
48.85785406,2.295531034,eiffeltower_hd
40.916561,-74.182091,patersonfalls
11.9633757,121.9265047,boracay_hd
30.3935337,-86.4957833,sandestin
26.426511,-82.09597,sanibel_hd
26.4433972,-82.1115119,sanibelosprey
18.453557,-66.069717,sanjuan1
35.687043,-105.938593,santafe
-23.560922,-46.657075,saopaulo
39.944285,-74.0729139,seasideheights
39.93486488,-74.07276392,seasidepark
47.624998,-122.356279,seattleskyline
34.851211,-111.789781,sedona_hd
34.785401,-111.7668363,sedona7
35.1043193,-82.0073326,pacoletriver
38.62419669,-90.18485785,stlouis_hd
40.689242,-74.04459,liberty_crown
17.727496,-64.775515,mmstcroix_hd
42.107248,-86.489383,stjoelighthouse
40.75779831,-73.9779532,nyc5th_stpats2012_hd
-33.8674869,151.2069902,sydney
40.732661,24.768746,thassos_mp
40.75941553,-73.98521662,tsstreetcc
35.6894875,139.6917064,tokyo1
41.4082088,-75.6725357,steamtown
46.7700731,23.5903823,transylvania
41.00527,28.97696,istanbul
-34.9580129,-54.9376273,puntadeleste
38.889779,-77.0078769,washmon
37.26945,-107.0097617,wolfcreek
41.947298,-87.656415,wrigleyfield_hd
